,gene_id
1431,Eml5
1432,Emp2
1433,Emp3
1434,Enah
1435,Enc1
1436,Endod1
1437,Eng
1438,Enho
1439,Eno1
1440,Eno2
1441,Enoph1
1442,Enpp2
1443,Enpp5
1444,Ensa
1445,Entpd1
1446,Entpd2
1447,Entpd6
1448,Eny2
1449,Eogt
1450,Ep400
1451,Epas1
1452,Epb4.1l1
1453,Epb4.1l2
1454,Epb4.1l3
1455,Epdr1
1456,Epha4
1457,Epha5
1458,Epha7
1459,Ephb6
1460,Ephx1
1461,Ephx2
1462,Ephx4
1463,Epm2aip1
1464,Epn2
1465,Eprs
1466,Eps15
1467,Eps8
1468,Erbb2ip
1469,Erbb4
1470,Erc1
1471,Erc2
1472,Erg
1473,Ergic1
1474,Ergic2
1475,Ergic3
1476,Eri3
1477,Ermn
1478,Erp29
1479,Erp44
1480,Errfi1
1481,Esam
1482,Esco1
1483,Esd
1484,Esf1
1485,Esyt2
1486,Etf1
1487,Etfa
1488,Etfb
1489,Etfdh
1490,Etl4
1491,Etnk1
1492,Etnppl
1493,Etv1
1494,Etv5
1495,Etv6
1496,Eva1a
1497,Evi2a
1498,Evi5
1499,Ewsr1
1500,Exd2
1501,Exoc3
1502,Exoc5
1503,Exoc6b
1504,Exoc7
1505,Exosc10
1506,Exosc7
1507,Exosc9
1508,Extl2
1509,Extl3
1510,Eya1
1511,Ezh1
1512,Ezr
1513,F11r
1514,F3
1515,Faah
1516,Fabp3
1517,Fabp5
1518,Fabp7
1519,Fads1
1520,Fads2
1521,Faf1
1522,Faf2
1523,Faim
1524,Faim2
1525,Fam103a1
1526,Fam105a
1527,Fam107a
1528,Fam114a2
1529,Fam118a
1530,Fam120a
1531,Fam120b
1532,Fam126b
1533,Fam131a
1534,Fam134a
1535,Fam134b
1536,Fam135b
1537,Fam136a
1538,Fam13b
1539,Fam13c
1540,Fam160a2
1541,Fam162a
1542,Fam163b
1543,Fam168a
1544,Fam168b
1545,Fam171b
1546,Fam173a
1547,Fam174a
1548,Fam178a
1549,Fam179b
1550,Fam181b
1551,Fam184a
1552,Fam188a
1553,Fam192a
1554,Fam195b
1555,Fam19a1
1556,Fam19a2
1557,Fam19a5
1558,Fam208a
1559,Fam20a
1560,Fam21
1561,Fam210a
1562,Fam212b
1563,Fam213a
1564,Fam213b
1565,Fam216a
1566,Fam228b
1567,Fam32a
1568,Fam3c
1569,Fam45a
1570,Fam46a
1571,Fam49a
1572,Fam49b
1573,Fam50a
1574,Fam58b
1575,Fam63a
1576,Fam63b
1577,Fam69a
1578,Fam69b
1579,Fam73a
1580,Fam76a
1581,Fam76b
1582,Fam81a
1583,Fam84b
1584,Fam92a
1585,Fam96a
1586,Far1
1587,Far2
1588,Farp1
1589,Farsa
1590,Farsb
1591,Fasn
1592,Fastkd2
1593,Fat3
1594,Fau
1595,Fbxl16
1596,Fbxl17
1597,Fbxl2
1598,Fbxl3
1599,Fbxl5
1600,Fbxo11
1601,Fbxo18
1602,Fbxo21
1603,Fbxo22
1604,Fbxo25
1605,Fbxo3
1606,Fbxo33
1607,Fbxo34
1608,Fbxo44
1609,Fbxo7
1610,Fbxo8
1611,Fbxo9
1612,Fbxw11
1613,Fbxw2
1614,Fbxw5
1615,Fbxw7
1616,Fcer1g
1617,Fcgr3
1618,Fcgrt
1619,Fcho2
1620,Fcrls
1621,Fdft1
1622,Fdps
1623,Fech
1624,Fem1b
1625,Fer
1626,Fermt2
1627,Fez1
1628,Fez2
1629,Fezf2
1630,Fgd4
1631,Fgf1
1632,Fgf12
1633,Fgf13
1634,Fgf9
1635,Fgfr1op
1636,Fgfr1op2
1637,Fgfr2
1638,Fgfr3
1639,Fh1
1640,Fhl1
1641,Fhl2
1642,Fibp
1643,Filip1l
